=== Fetching SPARC Dataset (CWRU) ===
Target directory: /app/conversations/6aa12914931b46bec45608e7/o5_run/sparc_data
Manifest: /app/conversations/6aa12914931b46bec45608e7/res-nova/VERIFICATION_RUN_001/02_sparc_strict_135/RAW_DATA_MANIFEST.sha256
NGC2976_rotmod.dat: OK
NGC2998_rotmod.dat: OK
NGC3109_rotmod.dat: OK
NGC3198_rotmod.dat: OK
NGC3521_rotmod.dat: OK
NGC3726_rotmod.dat: OK
NGC3741_rotmod.dat: OK
NGC3769_rotmod.dat: OK
NGC3877_rotmod.dat: OK
NGC3893_rotmod.dat: OK
NGC3917_rotmod.dat: OK
NGC3949_rotmod.dat: OK
NGC3953_rotmod.dat: OK
NGC3972_rotmod.dat: OK
NGC3992_rotmod.dat: OK
NGC4010_rotmod.dat: OK
NGC4013_rotmod.dat: OK
NGC4051_rotmod.dat: OK
NGC4068_rotmod.dat: OK
NGC4085_rotmod.dat: OK
NGC4088_rotmod.dat: OK
NGC4100_rotmod.dat: OK
NGC4138_rotmod.dat: OK
NGC4157_rotmod.dat: OK
NGC4183_rotmod.dat: OK
NGC4214_rotmod.dat: OK
NGC4217_rotmod.dat: OK
NGC4389_rotmod.dat: OK
NGC4559_rotmod.dat: OK
NGC5005_rotmod.dat: OK
NGC5033_rotmod.dat: OK
NGC5055_rotmod.dat: OK
NGC5371_rotmod.dat: OK
NGC5585_rotmod.dat: OK
NGC5907_rotmod.dat: OK
NGC5985_rotmod.dat: OK
NGC6015_rotmod.dat: OK
NGC6195_rotmod.dat: OK
NGC6503_rotmod.dat: OK
NGC6674_rotmod.dat: OK
NGC6789_rotmod.dat: OK
NGC6946_rotmod.dat: OK
NGC7331_rotmod.dat: OK
NGC7793_rotmod.dat: OK
NGC7814_rotmod.dat: OK
PGC51017_rotmod.dat: OK
UGC00128_rotmod.dat: OK
UGC00191_rotmod.dat: OK
UGC00634_rotmod.dat: OK
UGC00731_rotmod.dat: OK
UGC00891_rotmod.dat: OK
UGC01230_rotmod.dat: OK
UGC01281_rotmod.dat: OK
UGC02023_rotmod.dat: OK
UGC02259_rotmod.dat: OK
UGC02455_rotmod.dat: OK
UGC02487_rotmod.dat: OK
UGC02885_rotmod.dat: OK
UGC02916_rotmod.dat: OK
UGC02953_rotmod.dat: OK
UGC03205_rotmod.dat: OK
UGC03546_rotmod.dat: OK
UGC03580_rotmod.dat: OK
UGC04278_rotmod.dat: OK
UGC04305_rotmod.dat: OK
UGC04325_rotmod.dat: OK
UGC04483_rotmod.dat: OK
UGC04499_rotmod.dat: OK
UGC05005_rotmod.dat: OK
UGC05253_rotmod.dat: OK
UGC05414_rotmod.dat: OK
UGC05716_rotmod.dat: OK
UGC05721_rotmod.dat: OK
UGC05750_rotmod.dat: OK
UGC05764_rotmod.dat: OK
UGC05829_rotmod.dat: OK
UGC05918_rotmod.dat: OK
UGC05986_rotmod.dat: OK
UGC05999_rotmod.dat: OK
UGC06399_rotmod.dat: OK
UGC06446_rotmod.dat: OK
UGC06614_rotmod.dat: OK
UGC06628_rotmod.dat: OK
UGC06667_rotmod.dat: OK
UGC06786_rotmod.dat: OK
UGC06787_rotmod.dat: OK
UGC06818_rotmod.dat: OK
UGC06917_rotmod.dat: OK
UGC06923_rotmod.dat: OK
UGC06930_rotmod.dat: OK
UGC06973_rotmod.dat: OK
UGC06983_rotmod.dat: OK
UGC07089_rotmod.dat: OK
UGC07125_rotmod.dat: OK
UGC07151_rotmod.dat: OK
UGC07232_rotmod.dat: OK
UGC07261_rotmod.dat: OK
UGC07323_rotmod.dat: OK
UGC07399_rotmod.dat: OK
UGC07524_rotmod.dat: OK
UGC07559_rotmod.dat: OK
UGC07577_rotmod.dat: OK
UGC07603_rotmod.dat: OK
UGC07608_rotmod.dat: OK
UGC07690_rotmod.dat: OK
UGC07866_rotmod.dat: OK
UGC08286_rotmod.dat: OK
UGC08490_rotmod.dat: OK
UGC08550_rotmod.dat: OK
UGC08699_rotmod.dat: OK
UGC08837_rotmod.dat: OK
UGC09037_rotmod.dat: OK
UGC09133_rotmod.dat: OK
UGC09992_rotmod.dat: OK
UGC10310_rotmod.dat: OK
UGC11455_rotmod.dat: OK
UGC11557_rotmod.dat: OK
UGC11820_rotmod.dat: OK
UGC11914_rotmod.dat: OK
UGC12506_rotmod.dat: OK
UGC12632_rotmod.dat: OK
UGC12732_rotmod.dat: OK
UGCA281_rotmod.dat: OK
UGCA442_rotmod.dat: OK
UGCA444_rotmod.dat: OK
=== SUCCESS: 175 SPARC rotmod files verified with 0 drift ===
